purchase_id,product_id,supplier_id,purchase_date,quantity,unit_price_usd,total_amount_usd,delivery_days,payment_term
1,2428,26,2025-10-10,295,736.78,217350.1,1,90
2,3103,40,2024-12-29,201,610.24,122658.24,14,90
3,9158,62,2023-07-27,37,1090.18,40336.66,5,15
4,7297,88,2024-04-09,125,1886.17,235771.25,19,90
5,1170,55,2024-06-10,239,1247.8,298224.2,22,30
6,4613,62,2024-12-28,72,902.79,65000.88,30,45
7,1403,61,2023-11-26,379,1409.41,534166.39,20,60
8,7714,44,2025-10-09,21,1634.95,34333.95,15,90
9,6575,82,2023-02-23,171,1115.37,190728.27,24,60
10,4402,60,2023-10-07,442,1078.68,476776.56,17,60
11,3876,20,2025-10-04,341,523.74,178595.34,30,45
12,8711,41,2025-06-22,140,277.03,38784.2,1,90
13,8899,24,2025-02-21,298,270.98,80752.04,8,90
14,6755,87,2025-08-27,210,951.48,199810.8,26,60
15,8244,4,2025-03-12,124,956.07,118552.68,13,30
16,4058,61,2024-07-21,498,1622.41,807960.18,1,30
17,8488,39,2023-06-08,315,1384.18,436016.7,11,15
18,377,39,2023-02-07,32,1832.17,58629.44,29,30
19,8901,23,2024-02-13,12,392.18,4706.16,10,15
20,9308,82,2024-09-11,343,1588.32,544793.76,13,30
21,1565,5,2025-02-03,230,253.56,58318.8,14,60
22,6414,9,2024-03-17,294,888.29,261157.26,7,15
23,1604,94,2023-06-25,335,225.04,75388.4,28,45
24,7992,14,2023-09-08,211,1945.23,410443.53,19,30
25,5852,50,2024-02-19,142,1110.13,157638.46,8,60
26,8674,43,2024-05-14,174,1796.33,312561.42,15,60
27,7390,10,2024-09-26,51,1996.69,101831.19,2,15
28,346,36,2025-01-28,175,602.8,105490.0,15,45
29,6993,95,2023-03-11,36,1642.03,59113.08,18,60
30,6949,51,2025-07-23,325,1547.22,502846.5,4,90
31,7844,35,2024-01-25,390,673.1,262509.0,22,90
32,3822,1,2023-03-12,99,157.38,15580.62,13,90
33,5672,82,2023-11-15,54,821.09,44338.86,12,60
34,1684,8,2024-11-01,49,115.38,5653.62,4,45
35,7714,25,2023-03-08,36,682.64,24575.04,20,45
36,9462,13,2023-11-27,148,554.58,82077.84,17,90
37,6530,74,2023-10-31,491,803.59,394562.69,22,15
38,9710,40,2025-07-01,125,1821.36,227670.0,30,90
39,7637,12,2024-10-22,3,668.45,2005.35,24,15
40,3788,61,2023-05-26,131,689.68,90348.08,1,15
41,2684,42,2025-11-22,467,1034.63,483172.21,10,30
42,5876,29,2023-01-31,234,1792.43,419428.62,6,45
43,724,67,2024-02-15,240,1085.36,260486.4,14,90
44,5299,29,2023-10-05,395,674.4,266388.0,14,60
45,9056,51,2023-11-29,24,384.92,9238.08,13,30
46,9436,74,2024-06-28,276,1671.04,461207.04,27,90
47,9758,69,2025-05-18,447,999.88,446946.36,21,60
48,4401,65,2024-05-06,458,1502.37,688085.46,19,90
49,6924,58,2024-03-18,208,936.9,194875.2,6,60
50,8700,16,2023-11-15,206,1346.29,277335.74,15,60
51,1590,9,2025-05-02,88,537.37,47288.56,8,45
52,9181,52,2023-04-09,35,248.94,8712.9,11,90
53,8767,93,2024-04-25,62,1116.05,69195.1,30,60
54,198,47,2025-04-06,189,492.18,93022.02,5,60
55,3915,76,2025-04-06,274,1536.21,420921.54,12,90
56,5817,74,2024-01-11,149,73.15,10899.35,21,45
57,9891,97,2025-03-16,442,278.38,123043.96,16,60
58,7869,99,2023-08-12,220,1908.5,419870.0,26,90
59,8336,23,2025-12-24,457,774.58,353983.06,4,30
60,1838,91,2025-04-05,375,980.32,367620.0,25,45
61,1672,12,2023-03-24,123,304.56,37460.88,11,90
62,5206,91,2025-03-20,379,1791.93,679141.47,2,60
63,9330,49,2023-06-09,426,618.87,263638.62,4,60
64,9643,64,2023-05-18,433,924.06,400117.98,1,30
65,9282,56,2025-04-05,36,769.08,27686.88,16,30
66,4890,74,2025-01-08,393,216.1,84927.3,16,15
67,1625,71,2025-09-26,7,268.45,1879.15,23,60
68,1947,41,2023-10-23,353,918.46,324216.38,23,90
69,7410,20,2025-10-23,106,1443.87,153050.22,21,15
70,8714,31,2023-07-12,496,66.75,33108.0,12,45
71,8976,83,2024-09-08,94,409.99,38539.06,17,60
72,8864,78,2024-05-29,303,902.94,273590.82,27,15
73,5162,24,2025-03-07,292,783.33,228732.36,12,45
74,446,26,2025-06-01,283,1146.24,324385.92,5,60
75,1120,15,2025-08-22,307,1841.5,565340.5,25,45
76,4020,11,2024-06-19,22,477.35,10501.7,11,15
77,9592,20,2024-09-18,160,751.35,120216.0,10,30
78,107,98,2023-09-21,383,289.93,111043.19,15,90
79,7017,36,2024-01-20,364,1303.22,474372.08,23,60
80,1063,46,2023-08-21,334,375.7,125483.8,20,90
81,1271,82,2025-05-14,173,1497.48,259064.04,30,30
82,882,34,2025-09-01,271,510.69,138396.99,23,15
83,5706,28,2023-03-08,118,740.39,87366.02,19,60
84,6911,40,2025-11-09,264,1556.29,410860.56,17,60
85,1468,15,2023-12-25,276,1476.31,407461.56,26,15
86,5874,14,2023-02-08,48,1842.94,88461.12,18,15
87,2442,97,2025-03-03,157,1508.06,236765.42,2,90
88,9489,64,2023-10-04,166,293.65,48745.9,2,30
89,9239,8,2023-06-20,225,662.01,148952.25,16,60
90,6381,8,2024-05-14,390,1067.16,416192.4,20,45
91,9177,4,2023-01-02,425,1717.77,730052.25,25,45
92,542,65,2025-01-13,179,1003.14,179562.06,26,30
93,6492,11,2024-04-04,457,1827.32,835085.24,16,30
94,9031,69,2024-11-18,48,1134.36,54449.28,21,45
95,3411,94,2025-02-11,404,373.23,150784.92,6,90
96,9066,21,2024-08-27,214,1389.11,297269.54,1,15
97,4791,97,2023-07-07,354,32.12,11370.48,27,90
98,8512,6,2023-07-05,101,1324.17,133741.17,29,90
99,8094,8,2025-02-12,36,436.87,15727.32,6,15
100,939,65,2024-12-25,185,331.01,61236.85,26,45
101,8878,2,2024-10-20,469,670.56,314492.64,6,60
102,2394,70,2025-10-29,226,215.6,48725.6,27,90
103,4888,63,2025-08-26,126,1512.05,190518.3,8,30
104,5205,46,2023-01-26,306,1444.25,441940.5,15,60
105,2863,25,2024-08-14,87,1012.84,88117.08,21,30
106,3166,29,2023-07-30,18,1945.67,35022.06,29,30
107,904,99,2023-10-21,63,1335.43,84132.09,23,15
108,525,96,2024-08-23,204,991.19,202202.76,27,60
109,5109,57,2023-11-04,106,1087.15,115237.9,13,45
110,2801,32,2025-11-02,277,1085.71,300741.67,26,15
111,731,78,2023-08-13,87,1986.13,172793.31,24,90
112,9691,77,2025-12-29,306,1121.56,343197.36,2,30
113,7948,27,2023-01-04,484,1535.42,743143.28,10,90
114,721,45,2024-02-01,280,301.16,84324.8,30,90
115,6640,98,2025-07-17,89,799.34,71141.26,3,60
116,1397,93,2023-05-12,244,266.3,64977.2,21,60
117,8190,12,2023-07-23,494,188.83,93282.02,23,30
118,8151,65,2024-06-19,59,78.54,4633.86,15,15
119,5670,34,2024-08-19,438,615.51,269593.38,3,60
120,5299,47,2024-01-18,39,1570.39,61245.21,27,45
121,9140,3,2024-05-15,321,38.38,12319.98,25,45
122,3531,7,2024-09-11,397,286.32,113669.04,10,30
123,517,42,2024-05-31,113,910.13,102844.69,3,45
124,2835,34,2024-11-25,470,648.08,304597.6,30,15
125,9309,62,2024-06-21,59,443.36,26158.24,15,15
126,7383,34,2023-02-03,77,464.39,35758.03,25,45
127,4604,90,2025-10-22,138,886.82,122381.16,22,90
128,8999,43,2025-04-18,328,210.34,68991.52,15,90
129,5255,46,2025-07-11,465,1921.99,893725.35,25,30
130,4480,91,2025-01-15,425,695.88,295749.0,14,60
131,1613,18,2024-09-24,30,1400.81,42024.3,16,45
132,2734,83,2024-11-18,271,248.72,67403.12,8,60
133,8109,66,2024-06-07,498,1758.56,875762.88,20,90
134,9638,92,2023-06-07,333,108.24,36043.92,28,60
135,8325,47,2024-12-11,50,477.43,23871.5,6,60
136,6481,66,2023-04-25,409,683.53,279563.77,29,60
137,9821,49,2024-10-08,437,1396.46,610253.02,15,15
138,8715,71,2024-01-22,33,1163.53,38396.49,1,15
139,8731,43,2023-11-27,405,671.14,271811.7,2,30
140,9527,12,2024-04-23,118,267.49,31563.82,20,15
141,2342,1,2024-03-26,378,1782.58,673815.24,10,45
142,2752,23,2024-07-16,481,427.87,205805.47,10,90
143,5834,98,2025-05-14,17,816.05,13872.85,14,30
144,6256,79,2024-10-25,492,462.24,227422.08,28,30
145,8478,87,2023-09-17,463,1123.63,520240.69,13,30
146,9435,90,2025-03-29,449,1309.71,588059.79,26,60
147,4017,5,2024-12-11,371,1168.3,433439.3,9,15
148,1666,94,2024-04-20,222,728.06,161629.32,23,90
149,5257,54,2024-05-01,305,402.74,122835.7,2,60
150,3778,53,2023-05-07,292,1955.95,571137.4,30,60
151,335,38,2023-08-01,246,1171.0,288066.0,14,15
152,3752,24,2023-01-23,52,1702.44,88526.88,6,30
153,2935,75,2025-02-11,33,399.24,13174.92,26,90
154,7126,31,2023-03-06,21,107.3,2253.3,10,90
155,73,43,2025-11-01,247,220.02,54344.94,6,45
156,6699,57,2025-02-11,12,1692.61,20311.32,10,90
157,3828,35,2024-06-13,311,1473.11,458137.21,2,60
158,481,61,2024-08-18,151,1866.57,281852.07,21,30
159,5879,3,2025-09-07,38,549.34,20874.92,2,45
160,8890,96,2024-09-21,130,648.14,84258.2,5,90
161,9808,12,2025-12-26,292,1498.97,437699.24,21,30
162,4263,99,2025-02-05,17,1445.18,24568.06,20,60
163,8214,64,2024-08-21,363,1634.55,593341.65,21,45
164,5780,67,2023-06-18,95,1077.3,102343.5,13,60
165,6775,72,2025-06-22,244,1996.14,487058.16,8,90
166,2908,27,2023-02-12,39,1619.59,63164.01,5,90
167,4457,74,2023-06-04,436,563.59,245725.24,17,60
168,3768,4,2025-03-08,181,1206.39,218356.59,3,60
169,9901,52,2024-02-17,337,1234.1,415891.7,19,15
170,4829,17,2025-09-25,146,1493.42,218039.32,30,45
171,6713,13,2023-05-23,11,1191.39,13105.29,14,60
172,238,1,2024-12-30,315,430.05,135465.75,6,60
173,2627,96,2024-10-07,194,20.73,4021.62,24,90
174,8492,47,2025-08-31,339,34.62,11736.18,19,30
175,2959,90,2023-10-30,249,1186.0,295314.0,13,45
176,3034,4,2024-05-09,12,1482.43,17789.16,12,45
177,9465,15,2023-01-03,83,1887.32,156647.56,19,45
178,2723,89,2024-04-23,427,1462.74,624589.98,20,30
179,2760,92,2024-02-07,336,616.57,207167.52,9,60
180,2417,22,2025-12-23,97,1432.17,138920.49,12,30
181,4857,7,2025-08-07,275,311.91,85775.25,5,15
182,3049,90,2023-12-10,216,1045.64,225858.24,7,60
183,7567,77,2024-02-19,89,697.25,62055.25,14,90
184,5445,60,2023-01-29,401,1532.47,614520.47,25,90
185,3799,5,2025-12-28,164,857.43,140618.52,16,90
186,2241,39,2023-12-28,134,1911.53,256145.02,21,30
187,3265,45,2024-09-01,82,1715.85,140699.7,27,45
188,227,13,2023-06-01,262,1947.98,510370.76,23,90
189,4617,25,2023-01-27,438,435.48,190740.24,7,30
190,8260,2,2023-04-30,65,1840.61,119639.65,17,45
191,3704,72,2024-04-02,105,1869.25,196271.25,9,45
192,9026,20,2023-05-03,307,960.2,294781.4,8,45
193,7355,51,2023-06-29,482,890.91,429418.62,5,60
194,1926,24,2024-11-07,448,34.35,15388.8,6,15
195,1632,40,2023-10-03,475,199.26,94648.5,13,15
196,3287,82,2024-11-26,226,109.93,24844.18,18,90
197,7159,65,2025-09-08,312,137.74,42974.88,3,15
198,9812,36,2025-07-19,354,1360.34,481560.36,3,15
199,8684,34,2024-06-23,53,805.22,42676.66,9,45
200,7252,22,2023-07-18,333,1990.46,662823.18,13,15
201,5324,42,2025-06-02,339,74.64,25302.96,23,90
202,4472,62,2025-11-30,211,1306.46,275663.06,8,15
203,4734,91,2025-09-04,472,1039.6,490691.2,12,90
204,6482,7,2024-10-26,270,358.96,96919.2,2,45
205,9370,49,2025-10-19,426,534.73,227794.98,9,30
206,5701,82,2024-12-02,483,1637.31,790820.73,23,90
207,5929,53,2023-12-02,97,1398.96,135699.12,10,45
208,5981,63,2025-11-07,336,782.46,262906.56,3,30
209,3133,15,2025-03-13,54,1750.41,94522.14,16,60
210,5823,25,2025-02-18,78,825.2,64365.6,22,45
211,5309,62,2025-01-25,264,1422.74,375603.36,10,90
